Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/StorageTier,Snapshots/OwnerAlias,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-07ba42b609286ccdc,2022-02-14T00:16:03.380Z,completed,vol-02ef90b512129ae64,30,standard,,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,Name,sonarqube,SnapshotCreator,DLM,Snapshot,true,MaintainedBY,DevOps,CreatedBy,terraform
Created for policy: policy-0a56edde1220152f1 schedule: 2 weeks of daily snapshots,false,086685601027,100%,snap-0769ca21c5bdfcf2d,2022-02-13T00:17:45.572Z,completed,vol-02ef90b512129ae64,30,standard,,Name,sonarqube,SnapshotCreator,DLM,MaintainedBY,DevOps,Snapshot,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,CreatedBy,terraform,aws:dlm:lifecycle-policy-id,policy-0a56edde1220152f1,dlm:managed,true,spotinst:aws:ec2:group:createdBy,spotinst
,false,086685601027,100%,snap-0c9591e371a22232e,2021-06-01T19:29:59.336Z,completed,vol-0607d1d7aa5f2eb4d,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,Name,node-exporter,spotinst:accountId,act-bf1b8e33,Snapshot,true,spotinst:aws:ec2:group:id,sig-bc6b4628,MaintainedBY,DevOps,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-069705ca2bc402dd2,2021-06-01T19:20:00.439Z,completed,vol-0607d1d7aa5f2eb4d,8,standard,,CreatedBy,terraform,Name,node-exporter,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-bc6b4628,MaintainedBY,DevOps,Snapshot,true,,,,
,false,086685601027,100%,snap-0f9d83f6793518719,2021-05-24T07:30:02.411Z,completed,vol-0e0df761e2378f03b,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-4b9dcc8b,CreatedBy,terraform,Snapshot,true,Name,node-exporter,spotinst:accountId,act-bf1b8e33,MaintainedBY,DevOps,,,,
,false,086685601027,100%,snap-0ea2469ad2204976e,2021-05-24T07:20:00.736Z,completed,vol-0e0df761e2378f03b,8,standard,,MaintainedBY,DevOps,Snapshot,true,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-4b9dcc8b,Name,node-exporter,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-04604d1f51d6e19a2,2021-05-21T13:49:59.250Z,completed,vol-0f6f9bd99af07a53d,8,standard,,spotinst:accountId,act-bf1b8e33,CreatedBy,terraform,Snapshot,true,MaintainedBY,DevOps,Name,prometheus,spotinst:aws:ec2:group:id,sig-846244a2,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-06a576f06bf1cfe20,2021-05-21T13:44:58.222Z,completed,vol-0f6f9bd99af07a53d,8,standard,,spotinst:accountId,act-bf1b8e33,CreatedBy,terraform,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-846244a2,,,,
,false,086685601027,100%,snap-0e4dc9299490a9665,2021-05-21T13:05:00.535Z,completed,vol-023ecfb0e5f6b3630,8,standard,,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-3f90c33f,MaintainedBY,DevOps,Name,prometheus,Snapshot,true,,,,
,false,086685601027,100%,snap-0309532d95743f7b8,2021-05-21T12:55:01.477Z,completed,vol-0fa4a058e8b19ede9,8,standard,,MaintainedBY,DevOps,Name,prometheus,spotinst:aws:ec2:group:id,sig-f769075b,Snapshot,true,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-0f56de3b4cfedc886,2021-05-21T12:49:57.092Z,completed,vol-0fa4a058e8b19ede9,8,standard,,spotinst:aws:ec2:group:id,sig-f769075b,spotinst:accountId,act-bf1b8e33,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,Snapshot,true,MaintainedBY,DevOps,Name,prometheus,,,,
,false,086685601027,100%,snap-074ad80663aefab8d,2021-05-21T12:29:57.814Z,completed,vol-0d47195767d2a6f38,8,standard,,spotinst:accountId,act-bf1b8e33,CreatedBy,terraform,MaintainedBY,DevOps,Snapshot,true,Name,prometheus,spotinst:aws:ec2:group:id,sig-70fdefd7,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-073a39aa3d7ce536f,2021-05-21T12:35:02.079Z,completed,vol-0d47195767d2a6f38,8,standard,,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-70fdefd7,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-0fd7aebf50f2c4bcb,2021-05-21T09:19:59.989Z,completed,vol-027d1d419336571e9,8,standard,,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-30474723,MaintainedBY,DevOps,Name,prometheus,Snapshot,true,,,,
,false,086685601027,100%,snap-0d06170e3a51b4563,2021-05-21T09:14:57.421Z,completed,vol-027d1d419336571e9,8,standard,,spotinst:aws:ec2:group:id,sig-30474723,Snapshot,true,Name,prometheus,CreatedBy,terraform,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,,,,
