Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/StorageTier,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value,Snapshots/KmsKeyId
,false,874747637540,100%,snap-06e74bd8a694c396e,2022-02-16T11:35:12.737Z,completed,vol-0a741f15f12eae241,500,Snapshot,true,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:id,sig-9052dbd1,CreatedBy,terraform,Name,artifactory,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,standard,,,,,
,false,874747637540,100%,snap-05d00db9ef06f46df,2022-02-16T11:25:11.559Z,completed,vol-0a741f15f12eae241,500,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-9052dbd1,spotinst:accountId,act-f0a7c0de,Snapshot,true,MaintainedBY,DevOps,Name,artifactory,standard,,,,,
created by script,false,874747637540,100%,snap-0c9e99c24d03d6131,2022-01-28T14:46:22.611Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-02cc5f1f49c18aff9,2022-01-28T14:56:12.907Z,completed,vol-0a741f15f12eae241,500,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,Name,artifactory,Snapshot,true,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:id,sig-9052dbd1,CreatedBy,terraform,standard,,,,,
created by script,false,874747637540,100%,snap-0f8020b32c76bcde3,2022-01-11T08:08:15.086Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-0108113246eeff374,2021-12-06T16:17:15.982Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-01851a8217fb8f291,2021-11-18T15:23:53.532Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-00d1fdb0449bf8823,2021-11-08T12:37:04.737Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-0d7c167e993ddeb76,2021-09-29T12:04:41.700Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-0583641777ddad532,2021-09-06T10:57:32.971Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-090c1d6b08d7b98ce,2021-06-30T14:15:05.510Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-06153624b5a89f520,2021-04-27T10:07:19.292Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-0ba186ed2938f9246,2019-12-19T09:44:38.098Z,completed,vol-074e7ad72383c9822,500,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-ef74aaee,spotinst:accountId,act-f0a7c0de,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-0d2c72f4f1ac1f020,2019-12-19T09:34:37.860Z,completed,vol-074e7ad72383c9822,500,spotinst:aws:ec2:group:id,sig-ef74aaee,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:createdBy,spotinst,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-01ca8be0b63d6e70d,2019-12-11T09:44:37.935Z,completed,vol-04aa1446c2996d45f,500,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-f0361ba5,spotinst:accountId,act-f0a7c0de,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-04724bd92f591ae68,2019-12-11T09:54:42.178Z,completed,vol-04aa1446c2996d45f,500,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-f0361ba5,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-0e13ba01d216410ac,2019-11-28T14:38:43.476Z,completed,vol-04aa1446c2996d45f,500,spotinst:accountId,act-f0a7c0de,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-f0361ba5,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,,,,,standard,,,,,
,false,874747637540,100%,snap-0195295829e67d4ac,2022-02-16T11:25:10.972Z,completed,vol-07906cc5d6edbf0fa,300,MaintainedBY,DevOps,Name,influxdb,CreatedBy,terraform,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-e59fc746,,,standard,,,,,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-069cbd1cc5da7d0ab,2022-02-15T00:12:54.019Z,completed,vol-0a07bed975c59e23a,30,CreatedBy,terraform,Name,jenkins-master,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,dlm:managed,true,SnapshotCreator,DLM,standard,Snapshot,true,MaintainedBY,DevOps,
