Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/StorageTier,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value,Snapshots/KmsKeyId
,false,874747637540,100%,snap-06e74bd8a694c396e,2022-02-16T11:35:12.737Z,completed,vol-0a741f15f12eae241,500,Snapshot,true,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:id,sig-9052dbd1,CreatedBy,terraform,Name,artifactory,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,standard,,,,,
,false,874747637540,100%,snap-05d00db9ef06f46df,2022-02-16T11:25:11.559Z,completed,vol-0a741f15f12eae241,500,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-9052dbd1,spotinst:accountId,act-f0a7c0de,Snapshot,true,MaintainedBY,DevOps,Name,artifactory,standard,,,,,
Created by CreateImage(i-0b359f34abfd106bd) for ami-053b987ccf1971645,false,874747637540,100%,snap-0b436cadca483cfc3,2022-02-01T04:36:38.025Z,completed,vol-02d6f7315db14aff7,50,Application,jenkins-agent,Source,ami-084e3fc6ccfae9aae,Name,jenkins-agent-amzn2,,,,,,,,,standard,,,,,
created by script,false,874747637540,100%,snap-0c9e99c24d03d6131,2022-01-28T14:46:22.611Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-02cc5f1f49c18aff9,2022-01-28T14:56:12.907Z,completed,vol-0a741f15f12eae241,500,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,Name,artifactory,Snapshot,true,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:id,sig-9052dbd1,CreatedBy,terraform,standard,,,,,
created by script,false,874747637540,100%,snap-0f8020b32c76bcde3,2022-01-11T08:08:15.086Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
Created by CreateImage(i-0c926cf2913ca50ce) for ami-099abb0e2399c0283,false,874747637540,100%,snap-040afc2412f0b5695,2022-01-01T04:46:55.144Z,completed,vol-0fa5d1b1113e4306d,50,Source,ami-084e3fc6ccfae9aae,Application,jenkins-agent,Name,jenkins-agent-amzn2,,,,,,,,,standard,,,,,
Created by CreateImage(i-0d2a08f6c1257a682) for ami-0ca6400642b264778,false,874747637540,100%,snap-038d1d764e6c2e6f3,2021-12-23T08:46:29.821Z,completed,vol-0e3241a62ddabfcb3,500,Source,ami-084e3fc6ccfae9aae,Name,jenkins-e2e-agent-amzn2,Application,jenkins-e2e-agent,,,,,,,,,standard,,,,,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0e4f47346e238e581,2021-12-09T00:21:27.893Z,completed,vol-0cac824c71228f5df,30,MaintainedBY,DevOps,CreatedBy,terraform,Name,sonarqube,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Snapshot,true,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,SnapshotCreator,DLM,standard,spotinst:aws:ec2:group:createdBy,spotinst,dlm:managed,true,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-01d784e6c71bd46b2,2021-12-08T00:13:09.405Z,completed,vol-0cac824c71228f5df,30,MaintainedBY,DevOps,Snapshot,true,dlm:managed,true,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,Name,sonarqube,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,spotinst:aws:ec2:group:createdBy,spotinst,standard,CreatedBy,terraform,SnapshotCreator,DLM,
Created for policy: policy-0f5647a4cf65c7ffe schedule: 2 weeks of daily snapshots,false,874747637540,100%,snap-0562b7e51bd9c4fbd,2021-12-07T00:17:15.841Z,completed,vol-006206715afffc9dd,30,CreatedBy,terraform,Snapshot,true,Name,sonarqube,SnapshotCreator,DLM,MaintainedBY,DevOps,dlm:managed,true,aws:dlm:lifecycle-policy-id,policy-0f5647a4cf65c7ffe,standard,spotinst:aws:ec2:group:createdBy,spotinst,aws:dlm:lifecycle-schedule-name,2 weeks of daily snapshots,
created by script,false,874747637540,100%,snap-0108113246eeff374,2021-12-06T16:17:15.982Z,completed,vol-0a741f15f12eae241,500,Name,artifactory,,,,,,,,,,,,,standard,,,,,
Created by CreateImage(i-0d4810e96cbd9eea7) for ami-041c2068922279b64,false,874747637540,100%,snap-02afb1f479f6a02f2,2021-12-01T04:36:33.091Z,completed,vol-0d1ce4c9b9bfede11,50,Name,jenkins-agent-amzn2,Source,ami-084e3fc6ccfae9aae,Application,jenkins-agent,,,,,,,,,standard,,,,,
,false,874747637540,100%,snap-0195295829e67d4ac,2022-02-16T11:25:10.972Z,completed,vol-07906cc5d6edbf0fa,300,MaintainedBY,DevOps,Name,influxdb,CreatedBy,terraform,spotinst:accountId,act-f0a7c0de,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-e59fc746,,,standard,,,,,
